population_gnrl_urban,population_gnrl_rural,time_period,Nation
5488411.333,814656.0645,24,el_salvador
5524538.735,766054.4602,25,el_salvador
5554582.812,717899.8068,26,el_salvador
5584626.888,669745.1534,27,el_salvador
5614670.965,621590.4999,28,el_salvador
5644715.042,573435.8465,29,el_salvador
5674759.119,525281.1931,30,el_salvador
5697941.933,478192.4915,31,el_salvador
5721124.748,431103.7899,32,el_salvador
5744307.562,384015.0883,33,el_salvador
5767490.377,336926.3867,34,el_salvador
5790673.191,289837.6851,35,el_salvador
362385.0738,186184.5202,0,suriname
365400.9833,187837.9105,1,suriname
368416.8928,189491.3008,2,suriname
371432.8023,191144.6911,3,suriname
374448.7119,192798.0813,4,suriname
377464.6214,194451.4716,5,suriname
381982.5523,194243.1043,6,suriname
386500.4832,194034.737,7,suriname
391018.4142,193826.3696,8,suriname
395536.3451,193618.0023,9,suriname
400054.276,193409.635,10,suriname
404369.6705,192932.9099,11,suriname
408685.0651,192456.1847,12,suriname
413000.4596,191979.4596,13,suriname
417315.8541,191502.7345,14,suriname
421631.2486,191026.0094,15,suriname
425635.1683,190263.1117,16,suriname
429639.0881,189500.2139,17,suriname
433643.0078,188737.3162,18,suriname
437646.9275,187974.4185,19,suriname
441650.8473,187211.5207,20,suriname
445270.1518,186168.7858,21,suriname
448889.4563,185126.0509,22,suriname
452508.7608,184083.316,23,suriname
456128.0653,183040.5811,24,suriname
459747.3697,181997.8463,25,suriname
463023.6598,180729.0982,26,suriname
466299.9499,179460.3501,27,suriname
469576.24,178191.602,28,suriname
472852.5301,176922.8539,29,suriname
476128.8201,175654.1059,30,suriname
479099.9967,174204.6713,31,suriname
482071.1733,172755.2367,32,suriname
485042.3498,171305.8022,33,suriname
488013.5264,169856.3676,34,suriname
490984.7029,168406.9331,35,suriname
725517.7565,635168.2085,0,trinidad_and_tobago
725795.335,637057.4554,1,trinidad_and_tobago
726072.9134,638946.7024,2,trinidad_and_tobago
726350.4919,640835.9493,3,trinidad_and_tobago
726628.0703,642725.1963,4,trinidad_and_tobago
726905.6488,644614.4432,5,trinidad_and_tobago
730708.8185,640692.4827,6,trinidad_and_tobago
734511.9883,636770.5221,7,trinidad_and_tobago
738315.158,632848.5616,8,trinidad_and_tobago
742118.3278,628926.601,9,trinidad_and_tobago
745921.4976,625004.6404,10,trinidad_and_tobago
748609.6316,620206.1642,11,trinidad_and_tobago
751297.7657,615407.6879,12,trinidad_and_tobago
753985.8997,610609.2117,13,trinidad_and_tobago
756674.0338,605810.7354,14,trinidad_and_tobago
759362.1679,601012.2591,15,trinidad_and_tobago
761243.84,595715.0782,16,trinidad_and_tobago
763125.512,590417.8974,17,trinidad_and_tobago
765007.1841,585120.7165,18,trinidad_and_tobago
766888.8562,579823.5356,19,trinidad_and_tobago
768770.5283,574526.3547,20,trinidad_and_tobago
769709.1274,568728.2662,21,trinidad_and_tobago
770647.7266,562930.1776,22,trinidad_and_tobago
771586.3257,557132.0891,23,trinidad_and_tobago
772524.9248,551334.0006,24,trinidad_and_tobago
773463.524,545535.912,25,trinidad_and_tobago
773307.7602,539237.9854,26,trinidad_and_tobago
773151.9965,532940.0587,27,trinidad_and_tobago
772996.2328,526642.132,28,trinidad_and_tobago
772840.469,520344.2054,29,trinidad_and_tobago
772684.7053,514046.2787,30,trinidad_and_tobago
771374.4448,507320.53,31,trinidad_and_tobago
770064.1843,500594.7813,32,trinidad_and_tobago
768753.9238,493869.0326,33,trinidad_and_tobago
767443.6633,487143.2839,34,trinidad_and_tobago
766133.4028,480417.5352,35,trinidad_and_tobago
3233446.442,168390.951,0,uruguay
3244552.792,162120.9124,1,uruguay
3255659.142,155850.8738,2,uruguay
3266765.493,149580.8352,3,uruguay
3277871.843,143310.7966,4,uruguay
3288978.193,137040.758,5,uruguay
3297568.759,131859.5072,6,uruguay
3306159.325,126678.2564,7,uruguay
3314749.891,121497.0056,8,uruguay
3323340.457,116315.7548,9,uruguay
3331931.023,111134.504,10,uruguay
3338469.431,105847.6122,11,uruguay
3345007.838,100560.7204,12,uruguay
3351546.246,95273.82868,13,uruguay
3358084.653,89986.93692,14,uruguay
3364623.061,84700.04516,15,uruguay
3368293.03,79344.38138,16,uruguay
3371962.998,73988.71761,17,uruguay
3375632.967,68633.05384,18,uruguay
3379302.936,63277.39006,19,uruguay
3382972.905,57921.72629,20,uruguay
3383789.744,52566.10232,21,uruguay
3384606.583,47210.47835,22,uruguay
3385423.423,41854.85439,23,uruguay
3386240.262,36499.23042,24,uruguay
3387057.102,31143.60645,25,uruguay
3385142.947,25854.38066,26,uruguay
3383228.792,20565.15487,27,uruguay
3381314.637,15275.92908,28,uruguay
3379400.482,9986.703295,29,uruguay
3377486.326,4697.477506,30,uruguay
3361812.599,10422.86623,31,uruguay
3346138.872,16148.25495,32,uruguay
3330465.145,21873.64367,33,uruguay
3314791.417,27599.03239,34,uruguay
3299117.69,33324.42111,35,uruguay
27471024.98,3692928.486,0,venezuela
27820603.13,3751222.308,1,venezuela
28170181.28,3809516.131,2,venezuela
28519759.42,3867809.953,3,venezuela
28869337.57,3926103.775,4,venezuela
29218915.71,3984397.597,5,venezuela
29653337.53,3931124.95,6,venezuela
30087759.35,3877852.303,7,venezuela
30522181.17,3824579.656,8,venezuela
30956602.99,3771307.009,9,venezuela
31391024.81,3718034.362,10,venezuela
31808828.83,3651246.828,11,venezuela
32226632.84,3584459.293,12,venezuela
32644436.86,3517671.759,13,venezuela
33062240.88,3450884.225,14,venezuela
33480044.9,3384096.69,15,venezuela
33868305.24,3304087.369,16,venezuela
34256565.57,3224078.048,17,venezuela
34644825.91,3144068.726,18,venezuela
35033086.25,3064059.405,19,venezuela
35421346.59,2984050.084,20,venezuela
35777479.21,2892575.374,21,venezuela
36133611.84,2801100.664,22,venezuela
36489744.47,2709625.954,23,venezuela
36845877.1,2618151.244,24,venezuela
37202009.73,2526676.534,25,venezuela
37524351.52,2425589.901,26,venezuela
37846693.32,2324503.268,27,venezuela
38169035.12,2223416.635,28,venezuela
38491376.91,2122330.002,29,venezuela
38813718.71,2021243.369,30,venezuela
39098431.84,1912307.344,31,venezuela
39383144.98,1803371.32,32,venezuela
39667858.11,1694435.296,33,venezuela
39952571.24,1585499.271,34,venezuela
40237284.37,1476563.247,35,venezuela
