"population_urban","population_rural","time_period","nation"
54554805.8693616,7575979.34063843,28,"Colombia"
55002776.0912169,7430103.42878309,29,"Colombia"
55450746.3130722,7284227.51692776,30,"Colombia"
55845566.6158658,7122423.0921342,31,"Colombia"
56240386.9186594,6960618.66734065,32,"Colombia"
56635207.2214529,6798814.24254709,33,"Colombia"
57030027.5242465,6637009.81775354,34,"Colombia"
57424847.82704,6475205.39295998,35,"Colombia"
3843853.4411424,1157256.9428576,0,"Costa Rica"
3937920.93033192,1128199.69466808,1,"Costa Rica"
4031988.41952144,1099142.44647856,2,"Costa Rica"
4126055.90871096,1070085.19828904,3,"Costa Rica"
4220123.39790048,1041027.95009952,4,"Costa Rica"
4314190.88709,1011970.70191,5,"Costa Rica"
4414323.58532177,972667.906478233,6,"Costa Rica"
4514456.28355353,933365.111046466,7,"Costa Rica"
4614588.9817853,894062.3156147,8,"Costa Rica"
4714721.68001707,854759.520182933,9,"Costa Rica"
4814854.37824883,815456.724751166,10,"Costa Rica"
4916172.2556598,770181.8689402,11,"Costa Rica"
5017490.13307077,724907.013129233,12,"Costa Rica"
5118808.01048173,679632.157318266,13,"Costa Rica"
5220125.8878927,634357.301507299,14,"Costa Rica"
5321443.76530367,589082.445696333,15,"Costa Rica"
5422415.92318523,538433.296214766,16,"Costa Rica"
5523388.0810668,487784.146733199,17,"Costa Rica"
5624360.23894837,437134.997251633,18,"Costa Rica"
5725332.39682993,386485.847770066,19,"Costa Rica"
5826304.5547115,335836.698288499,20,"Costa Rica"
5926447.33825267,280591.062347333,21,"Costa Rica"
6026590.12179383,225345.426406166,22,"Costa Rica"
6126732.905335,170099.790464999,23,"Costa Rica"
6226875.68887617,114854.154523832,24,"Costa Rica"
6327018.47241734,59608.5185826658,25,"Costa Rica"
6363799.88679587,60840.1998041326,26,"Costa Rica"
6400581.3011744,62071.8810255995,27,"Costa Rica"
6437362.71555293,63303.5622470663,28,"Costa Rica"
6474144.12993147,64535.2434685332,29,"Costa Rica"
6510925.54431,65766.9246900001,30,"Costa Rica"
6542462.866104,66085.4834960001,31,"Costa Rica"
6574000.187898,66404.0423020001,32,"Costa Rica"
6605537.509692,66722.6011080001,33,"Costa Rica"
6637074.831486,67041.1599140001,34,"Costa Rica"
6668612.15328,67359.7187200001,35,"Costa Rica"
8267237.352432,2254892.407568,0,"Dominican Republic"
8450722.5124656,2180153.1395344,1,"Dominican Republic"
8634207.6724992,2105413.8715008,2,"Dominican Republic"
8817692.8325328,2030674.6034672,3,"Dominican Republic"
9001177.9925664,1955935.3354336,4,"Dominican Republic"
9184663.1526,1881196.0674,5,"Dominican Republic"
9371791.31576811,1793080.75823189,6,"Dominican Republic"
9558919.47893622,1704965.44906378,7,"Dominican Republic"
9746047.64210433,1616850.13989567,8,"Dominican Republic"
9933175.80527244,1528734.83072756,9,"Dominican Republic"
10120303.9684406,1440619.52155944,10,"Dominican Republic"
10307159.0695384,1342719.22446156,11,"Dominican Republic"
10494014.1706363,1244818.92736367,12,"Dominican Republic"
10680869.2717342,1146918.63026578,13,"Dominican Republic"
10867724.3728321,1049018.33316789,14,"Dominican Republic"
11054579.47393,951118.036070001,15,"Dominican Republic"
11237401.4580463,844718.611953668,16,"Dominican Republic"
11420223.4421627,738319.187837334,17,"Dominican Republic"
11603045.426279,631919.763721001,18,"Dominican Republic"
11785867.4103953,525520.339604667,19,"Dominican Republic"
11968689.3945117,419120.915488334,20,"Dominican Republic"
12088789.3918293,360689.034170667,21,"Dominican Republic"
12208889.389147,302257.152853,22,"Dominican Republic"
12328989.3864647,243825.271535334,23,"Dominican Republic"
12449089.3837823,185393.390217667,24,"Dominican Republic"
12569189.3811,126961.5089,25,"Dominican Republic"
12618215.04636,127456.71764,26,"Dominican Republic"
12667240.71162,127951.92638,27,"Dominican Republic"
12716266.37688,128447.13512,28,"Dominican Republic"
12765292.04214,128942.34386,29,"Dominican Republic"
12814317.7074,129437.5526,30,"Dominican Republic"
12851625.80592,129814.40208,31,"Dominican Republic"
12888933.90444,130191.25156,32,"Dominican Republic"
12926242.00296,130568.10104,33,"Dominican Republic"
12963550.10148,130944.95052,34,"Dominican Republic"
13000858.2,131321.8,35,"Dominican Republic"
9786072.58014,5649373.12986,0,"Ecuador"
9921311.743472,5696503.698528,1,"Ecuador"
10056550.906804,5743634.267196,2,"Ecuador"
10191790.070136,5790764.835864,3,"Ecuador"
10327029.233468,5837895.404532,4,"Ecuador"
10462268.3968,5885025.9732,5,"Ecuador"
10593858.9139267,5924698.15807333,6,"Ecuador"
10725449.4310533,5964370.34294667,7,"Ecuador"
10857039.94818,6004042.52782,8,"Ecuador"
10988630.4653067,6043714.71269333,9,"Ecuador"
11120220.9824333,6083386.89756667,10,"Ecuador"
