difference_variable,multiplier,multiplier unit,annual change,output_variable_name,output_display_name,sum,natural multiplier units,display_notes,internal_notes
totalvalue_enfu_fuel_consumed_inen_fuel_gasoline,-500000,N/A,1,cb:enfu:fuel_cost:inen:gasoline,Fuel Cost bio fuel_biogas,0,Bias corrected to be half of what they currently show,Costs of electricity and fuels are endogenously calcuated in NemoMod,gasoline
totalvalue_enfu_fuel_consumed_inen_fuel_hydrocarbon_gas_liquids,-500000,N/A,1,cb:enfu:fuel_cost:inen:hydrocarbon_gas_liquids,Fuel Cost bio fuel_biogas,0,Bias corrected to be half of what they currently show,Costs of electricity and fuels are endogenously calcuated in NemoMod,hydrocarbon_gas_liquids
totalvalue_enfu_fuel_consumed_inen_fuel_hydrogen,-500000,N/A,1,cb:enfu:fuel_cost:inen:hydrogen,Fuel Cost bio fuel_biogas,0,Bias corrected to be half of what they currently show,Costs of electricity and fuels are endogenously calcuated in NemoMod,hydrogen
totalvalue_enfu_fuel_consumed_inen_fuel_kerosene,-500000,N/A,1,cb:enfu:fuel_cost:inen:kerosene,Fuel Cost bio fuel_biogas,0,Bias corrected to be half of what they currently show,Costs of electricity and fuels are endogenously calcuated in NemoMod,kerosene
totalvalue_enfu_fuel_consumed_inen_fuel_natural_gas,-500000,N/A,1,cb:enfu:fuel_cost:inen:natural_gas,Fuel Cost bio fuel_biogas,0,Bias corrected to be half of what they currently show,Costs of electricity and fuels are endogenously calcuated in NemoMod,natural_gas
totalvalue_enfu_fuel_consumed_inen_fuel_oil,-500000,N/A,1,cb:enfu:fuel_cost:inen:oil,Fuel Cost bio fuel_biogas,0,Bias corrected to be half of what they currently show,Costs of electricity and fuels are endogenously calcuated in NemoMod,oil
totalvalue_enfu_fuel_consumed_scoe_fuel_biomass,-500000,N/A,1,cb:enfu:fuel_cost:scoe:biomass,Fuel Cost bio fuel_biogas,0,Bias corrected to be half of what they currently show,Costs of electricity and fuels are endogenously calcuated in NemoMod,biomass
totalvalue_enfu_fuel_consumed_scoe_fuel_coal,-500000,N/A,1,cb:enfu:fuel_cost:scoe:coal,Fuel Cost bio fuel_biogas,0,Bias corrected to be half of what they currently show,Costs of electricity and fuels are endogenously calcuated in NemoMod,coal
totalvalue_enfu_fuel_consumed_scoe_fuel_diesel,-500000,N/A,1,cb:enfu:fuel_cost:scoe:diesel,Fuel Cost bio fuel_biogas,0,Bias corrected to be half of what they currently show,Costs of electricity and fuels are endogenously calcuated in NemoMod,diesel
totalvalue_enfu_fuel_consumed_scoe_fuel_electricity,-500000,N/A,1,cb:enfu:fuel_cost:scoe:electricity,Fuel Cost bio fuel_biogas,0,Bias corrected to be half of what they currently show,Costs of electricity and fuels are endogenously calcuated in NemoMod,electricity
totalvalue_enfu_fuel_consumed_scoe_fuel_gasoline,-500000,N/A,1,cb:enfu:fuel_cost:scoe:gasoline,Fuel Cost bio fuel_biogas,0,Bias corrected to be half of what they currently show,Costs of electricity and fuels are endogenously calcuated in NemoMod,gasoline
