difference_variable,multiplier,multiplier unit,annual change,output_variable_name,output_display_name,sum,natural multiplier units,display_notes,internal_notes
qty_waso_*_recovered_for_energy_incineration_tonne,-170,$/ton MSW,1,cb:waso:technical_cost:waste_to_energy:incineration,Cost of Energy Recovery (incineration),1,$170/ton MSW,Cost for energy recovery is based on IEA estimates (2020f).,0.25 toe/ton feedstock x 42 Mbtu/1toe x $17/Mbtu=170
gasrecovered_waso_biogas_anaerobic_tonne,-500,$/ton gas,1,cb:waso:technical_cost:waste_to_energy:anaerobic,Cost of Energy Recovery (anaerobic),1,$500/ton gas,Cost for energy recovery is based on IEA estimates (2020f).,
gasrecovered_waso_biogas_landfills_tonne,-500,$/ton gas,1,cb:waso:technical_cost:waste_to_energy:landfill,Cost of Energy Recovery (landfill),1,$500/ton gas,Cost for energy recovery is based on IEA estimates (2020f).,"https://waste-management-world.com/resource-use/how-much-methane-is-generated-by-the-global-landfilling-of-urban-wastes/#:~:text=Using%20the%20World%20Bank%20numbers,case%20of%20U.S.%20LMOP%20landfills."
gasrecovered_waso_biogas_anaerobic_tonne,323.5294118,$/ton gas,1,cb:waso:fuel_cost:waste_to_energy_value:anaerobic,Cost of Energy Recovery (anaerobic),1,$500/ton gas,Cost for energy recovery is based on IEA estimates (2020f).,
gasrecovered_waso_biogas_landfills_tonne,323.5294118,$/ton gas,1,cb:waso:fuel_cost:waste_to_energy_value:landfill,Cost of Energy Recovery (landfill),1,$500/ton gas,Cost for energy recovery is based on IEA estimates (2020f).,
