difference_variable,multiplier,multiplier unit,annual change,output_variable_name,output_display_name,sum,natural multiplier units,display_notes,internal_notes
gasrecovered_trww_biogas_tonne,-500,$/ton biogas,1,cb:trww:technical_cost:waste_to_energy:X,Cost of Energy Recovery (incineration),1,$17/mbtu biogas,,$17/Mbtu * 1Mbtu/1.05GJ * 30.58GJ/tonne biogs = 500
gasrecovered_trww_biogas_tonne,323.5294118,$/ton biogas,1,cb:trww:fuel_cost:waste_to_energy_value:X,Cost of Energy Recovery (incineration),1,22/mbtu biogas,,Above * 22/17
