Value
1738.9
223.7
119.3
116.6
179.3
96.4
130.1
184
211.9
187
208.9
243.7
273.1
346.6
2288.3
550.6
370
762.3
437.7
247.1
486.3
330.1
1981
405.2
390.9
327.8
993.1
4473.9
227.9
407
202.6
250.7
197.2
172
193.6
206.2
316
295.4
392
97.1
163.4
407
558.3
459.5
1395.2
398.1
152.8
477.8
2041.3
1440.7
1005.6
165
177.8
200.6
130.6
217.9
286.5
286.5
