primary_id,design_id,strategy_id,future_id
0,0,0,0
3003,0,3001,0
4004,0,3002,0
5005,0,3003,0
6006,0,3004,0
7007,0,3005,0
8008,0,3006,0
9009,0,3007,0
10010,0,3008,0
11011,0,3009,0
12012,0,3010,0
13013,0,3011,0
14014,0,3012,0
15015,0,3013,0
16016,0,3014,0
17017,0,3015,0
18018,0,3016,0
19019,0,3017,0
20020,0,3018,0
21021,0,3019,0
22022,0,3020,0
23023,0,3021,0
24024,0,3022,0
25025,0,3023,0
26026,0,3024,0
27027,0,3025,0
28028,0,3026,0
29029,0,3027,0
30030,0,3028,0
31031,0,3029,0
32032,0,3030,0
33033,0,3031,0
34034,0,3032,0
35035,0,3033,0
36036,0,3034,0
37037,0,3035,0
38038,0,3036,0
39039,0,3037,0
40040,0,3038,0
41041,0,3039,0
42042,0,3040,0
43043,0,3041,0
44044,0,3042,0
45045,0,3043,0
46046,0,3044,0
47047,0,3045,0
48048,0,3046,0
49049,0,3047,0
50050,0,3048,0
51051,0,3049,0
52052,0,3050,0
53053,0,3051,0
54054,0,3052,0
55055,0,3053,0
56056,0,3054,0
57057,0,3055,0
58058,0,3056,0
59059,0,3057,0
60060,0,3058,0
61061,0,3059,0
62062,0,3060,0
63063,0,3061,0
64064,0,3062,0
65065,0,3063,0
66066,0,3064,0
67067,0,3065,0
68068,0,3066,0
69069,0,3067,0
