strategy_code,strategy,baseline_strategy_id,include,summarize_energy_costs,summarize_air_pollution_costs,summarize_ghg_effects,test_id,comparison_id,difference_variable,multiplier,multiplier.unit,annual.change,output_variable_name,output_display_name,sum,country_specific_multiplier,scale_impact,scaling,natural.multiplier.units,display_notes,internal_notes
TRNS:FUEL_SWITCH_MEDIUM_DUTY,TRNS: Fuel switch medium duty road transport,0,1,1,1,0,TRNS:FUEL_SWITCH_MEDIUM_DUTY,BASE,energy_consumption_trns_*_electricity,3177614,$/PJ,1,technical_cost_electrification_HDV_charger,EV Charger Cost,0,0,0,0,$0.011/kwh,"Burke et al. (2022) provide marginal capital and maintenance costs of a variety of medium and heavy duty BEVs versus ICEs (Table 19a, p. 50), and the cost of charging infrastructure (p.22). Using a stated 12-year lifetime, we calculate a simple average of these costs across all vehicle types. Costs are then adjusted to 2019 costs for LAC.",
TRNS:FUEL_SWITCH_MEDIUM_DUTY_REP,TRNS: Fuel switch medium duty road transport with renewable energy production,0,0,0,0,0,,,,,,,,,,,,,,,
TRNS:INC_OCCUPANCY,TRNS: Increase occupancy for private vehicles,0,1,1,1,0,TRNS:INC_OCCUPANCY,BASE,,,,,,,,,,,,,
TRNS:INC_OCCUPANCY_REP,TRNS: Increase occupancy for private vehicles with renewable energy production,0,0,0,0,0,,,,,,,,,,,,,,,
TRNS:INC_EFFICIENCY_ELEC,TRNS: Increase transportation electricity energy efficiency,0,1,1,1,0,TRNS:INC_EFFICIENCY_ELEC,BASE,,,,,,,,,,,,,
TRNS:INC_EFFICIENCY_ELEC_REP,TRNS: Increase transportation electricity energy efficiency with renewable energy production,0,0,0,0,0,,,,,,,,,,,,,,,
TRNS:INC_EFFICIENCY_NON_ELEC,TRNS: Increase transportation non-electricity energy efficiency,0,1,1,1,0,TRNS:INC_EFFICIENCY_NON_ELEC,BASE,,,,,,,,,,,,,
TRNS:INC_EFFICIENCY_NON_ELEC_REP,TRNS: Increase transportation non-electricity energy efficiency with renewable energy production,0,0,0,0,0,,,,,,,,,,,,,,,
TRNS:BUNDLE_MODE_SHIFT,TRNS: Mode shift bundle,0,0,0,0,0,,,,,,,,,,,,,,,
TRNS:BUNDLE_MODE_SHIFT_REP,TRNS: Mode shift bundle with renewable energy production,0,0,0,0,0,,,,,,,,,,,,,,,
TRNS:MODE_SHIFT_FREIGHT,TRNS: Mode shift freight,0,1,1,1,0,TRNS:MODE_SHIFT_FREIGHT,BASE,,,,,,,,,,,,,
TRNS:MODE_SHIFT_FREIGHT_REP,TRNS: Mode shift freight with renewable energy production,0,0,0,0,0,,,,,,,,,,,,,,,
TRNS:MODE_SHIFT_PASSENGER,TRNS: Mode shift passenger vehicles to others,0,1,1,1,0,TRNS:MODE_SHIFT_PASSENGER,BASE,,,,,,,,,,,,,
TRNS:MODE_SHIFT_PASSENGER_REP,TRNS: Mode shift passenger vehicles to others with renewable energy production,0,0,0,0,0,,,,,,,,,,,,,,,
TRNS:MODE_SHIFT_REGIONAL,TRNS: Mode shift regional passenger travel,0,1,1,1,0,TRNS:MODE_SHIFT_REGIONAL,BASE,,,,,,,,,,,,,
TRNS:MODE_SHIFT_REGIONAL_REP,TRNS: Mode shift regional passenger travel with renewable energy production,0,0,0,0,0,,,,,,,,,,,,,,,
TRNS:DEC_DEMAND,TRNS: Reduce demand for transport,0,1,1,1,0,TRNS:DEC_DEMAND,BASE,,,,,,,,,,,,,
TRNS:DEC_DEMAND_REP,TRNS: Reduce demand for transport with renewable energy production,0,0,0,0,0,,,,,,,,,,,,,,,
