"","region","time_period","strategy_id","difference_variable","difference_value","variable","value","future_id"
"66","brazil",1,3023,"change_in_emissions:3029",-3.04577065023875e-14,"cost",0,10
"67","brazil",10,3023,"change_in_emissions:3027",-6.10492549092213e-15,"cost",0,9
"68","brazil",10,3023,"change_in_emissions:3027",-6.66791715220486e-15,"cost",0,8
"69","brazil",10,3023,"change_in_emissions:3027",-8.80536018850557e-15,"cost",0,11
"70","brazil",10,3023,"change_in_emissions:3027",-5.79930157004147e-15,"cost",0,3
"71","brazil",10,3023,"change_in_emissions:3027",-5.27207479198221e-15,"cost",0,6
"72","brazil",10,3023,"change_in_emissions:3027",-8.66882502651487e-15,"cost",0,10
"73","brazil",10,3023,"change_in_emissions:3025",-2.89965078502074e-15,"cost",0,3
"74","brazil",10,3023,"change_in_emissions:3029",-7.20570880084537e-14,"cost",0,11
"75","brazil",10,3023,"change_in_emissions:3025",-3.73986141799521e-15,"cost",0,2
"76","brazil",10,3023,"change_in_emissions:3029",-7.40455440372264e-14,"cost",0,2
"77","brazil",10,3023,"change_in_emissions:3025",-3.05246274546106e-15,"cost",0,9
"78","brazil",10,3023,"change_in_emissions:3025",-4.40268009425279e-15,"cost",0,11
"79","brazil",10,3023,"change_in_emissions:3027",-7.47972283599042e-15,"cost",0,2
"80","brazil",10,3023,"change_in_emissions:3027",-7.92550341533266e-15,"cost",0,5
"81","brazil",10,3023,"change_in_emissions:3027",-5.56637136526232e-15,"cost",0,4
"82","brazil",10,3023,"change_in_emissions:3029",-7.3376873168213e-14,"cost",0,5
"83","brazil",10,3023,"change_in_emissions:3029",-7.50036409435729e-14,"cost",0,7
"84","brazil",10,3023,"change_in_emissions:3027",-6.84099156509271e-15,"cost",0,7
"85","brazil",10,3023,"change_in_emissions:3025",-2.78318568263116e-15,"cost",0,4
"86","brazil",10,3023,"change_in_emissions:3025",-2.58379176640036e-15,"cost",0,1
"87","brazil",10,3023,"change_in_emissions:3029",-7.52632525629047e-14,"cost",0,8
"88","brazil",10,3023,"change_in_emissions:3027",-5.16758353280073e-15,"cost",0,1
"89","brazil",10,3023,"change_in_emissions:3025",-3.96275170766633e-15,"cost",0,5
"90","brazil",10,3023,"change_in_emissions:3025",-3.33395857610243e-15,"cost",0,8
"91","brazil",10,3023,"change_in_emissions:3029",-7.75137529920109e-14,"cost",0,1
"92","brazil",10,3023,"change_in_emissions:3025",-3.42049578254636e-15,"cost",0,7
"93","brazil",10,3023,"change_in_emissions:3029",-7.69155712433185e-14,"cost",0,4
"94","brazil",10,3023,"change_in_emissions:3029",-7.65661759361498e-14,"cost",0,3
"95","brazil",10,3023,"change_in_emissions:3029",-7.73570161032387e-14,"cost",0,6
"96","brazil",10,3023,"change_in_emissions:3025",-4.33441251325743e-15,"cost",0,10
"97","brazil",10,3023,"change_in_emissions:3029",-7.22618907514397e-14,"cost",0,10
"98","brazil",10,3023,"change_in_emissions:3029",-7.61077400548288e-14,"cost",0,9
"99","brazil",10,3023,"change_in_emissions:3025",-2.63603739599111e-15,"cost",0,6
"100","brazil",11,3023,"change_in_emissions:3029",-0.332094943569824,"cost",388854.53097305,1
"101","brazil",11,3023,"change_in_emissions:3025",-4.17391831735115,"cost",259266360.862666,9
