"time_period","pij_lndu_forests_primary_to_croplands","pij_lndu_forests_primary_to_forests_mangroves","pij_lndu_forests_primary_to_forests_primary","pij_lndu_forests_primary_to_forests_secondary","pij_lndu_forests_primary_to_grasslands","pij_lndu_forests_primary_to_other","pij_lndu_forests_primary_to_settlements","pij_lndu_forests_primary_to_wetlands","pij_lndu_forests_secondary_to_croplands","pij_lndu_forests_secondary_to_forests_mangroves","pij_lndu_forests_secondary_to_forests_primary","pij_lndu_forests_secondary_to_forests_secondary","pij_lndu_forests_secondary_to_grasslands","pij_lndu_forests_secondary_to_other","pij_lndu_forests_secondary_to_settlements","pij_lndu_forests_secondary_to_wetlands","TransformationName","Nation"
29,0.24,1,1.00318202,1,0.24,0.24,0.24,0.24,0.24,1,1,1.022015751,0.24,0.24,0.24,0.24,"full","peru"
30,0.2,1,1.00318202,1,0.2,0.2,0.2,0.2,0.2,1,1,1.022015751,0.2,0.2,0.2,0.2,"full","peru"
31,0.16,1,1.00318202,1,0.16,0.16,0.16,0.16,0.16,1,1,1.022015751,0.16,0.16,0.16,0.16,"full","peru"
32,0.12,1,1.00318202,1,0.12,0.12,0.12,0.12,0.12,1,1,1.022015751,0.12,0.12,0.12,0.12,"full","peru"
33,0.08,1,1.00318202,1,0.08,0.08,0.08,0.08,0.08,1,1,1.022015751,0.08,0.08,0.08,0.08,"full","peru"
34,0.04,1,1.00318202,1,0.04,0.04,0.04,0.04,0.04,1,1,1.022015751,0.04,0.04,0.04,0.04,"full","peru"
35,-3.46945e-16,1,1.00318202,1,-3.46945e-16,-3.46945e-16,-3.46945e-16,-3.46945e-16,-3.46945e-16,1,1,1.022015751,-3.46945e-16,-3.46945e-16,-3.46945e-16,-3.46945e-16,"full","peru"
0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,"none","suriname"
1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,"none","suriname"
2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,"none","suriname"
3,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,"none","suriname"
4,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,"none","suriname"
5,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,"none","suriname"
6,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,"none","suriname"
7,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,"none","suriname"
8,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,"none","suriname"
9,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,"none","suriname"
10,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,"none","suriname"
11,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,"none","suriname"
12,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,"none","suriname"
13,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,"none","suriname"
14,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,"none","suriname"
15,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,"none","suriname"
16,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,"none","suriname"
17,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,"none","suriname"
18,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,"none","suriname"
19,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,"none","suriname"
20,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,"none","suriname"
21,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,"none","suriname"
22,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,"none","suriname"
23,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,"none","suriname"
24,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,"none","suriname"
25,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,"none","suriname"
26,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,"none","suriname"
27,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,"none","suriname"
28,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,"none","suriname"
29,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,"none","suriname"
30,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,"none","suriname"
31,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,"none","suriname"
32,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,"none","suriname"
33,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,"none","suriname"
34,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,"none","suriname"
35,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,"none","suriname"
0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,"full","suriname"
1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,"full","suriname"
2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,"full","suriname"
3,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,"full","suriname"
4,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,"full","suriname"
5,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,"full","suriname"
6,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,"full","suriname"
7,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,"full","suriname"
8,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,"full","suriname"
9,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,"full","suriname"
10,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,"full","suriname"
11,0.96,1,1.00318202,1,0.96,0.96,0.96,0.96,0.96,1,1,1.022015751,0.96,0.96,0.96,0.96,"full","suriname"
12,0.92,1,1.00318202,1,0.92,0.92,0.92,0.92,0.92,1,1,1.022015751,0.92,0.92,0.92,0.92,"full","suriname"
13,0.88,1,1.00318202,1,0.88,0.88,0.88,0.88,0.88,1,1,1.022015751,0.88,0.88,0.88,0.88,"full","suriname"
14,0.84,1,1.00318202,1,0.84,0.84,0.84,0.84,0.84,1,1,1.022015751,0.84,0.84,0.84,0.84,"full","suriname"
15,0.8,1,1.00318202,1,0.8,0.8,0.8,0.8,0.8,1,1,1.022015751,0.8,0.8,0.8,0.8,"full","suriname"
16,0.76,1,1.00318202,1,0.76,0.76,0.76,0.76,0.76,1,1,1.022015751,0.76,0.76,0.76,0.76,"full","suriname"
17,0.72,1,1.00318202,1,0.72,0.72,0.72,0.72,0.72,1,1,1.022015751,0.72,0.72,0.72,0.72,"full","suriname"
18,0.68,1,1.00318202,1,0.68,0.68,0.68,0.68,0.68,1,1,1.022015751,0.68,0.68,0.68,0.68,"full","suriname"
19,0.64,1,1.00318202,1,0.64,0.64,0.64,0.64,0.64,1,1,1.022015751,0.64,0.64,0.64,0.64,"full","suriname"
20,0.6,1,1.00318202,1,0.6,0.6,0.6,0.6,0.6,1,1,1.022015751,0.6,0.6,0.6,0.6,"full","suriname"
21,0.56,1,1.00318202,1,0.56,0.56,0.56,0.56,0.56,1,1,1.022015751,0.56,0.56,0.56,0.56,"full","suriname"
22,0.52,1,1.00318202,1,0.52,0.52,0.52,0.52,0.52,1,1,1.022015751,0.52,0.52,0.52,0.52,"full","suriname"
23,0.48,1,1.00318202,1,0.48,0.48,0.48,0.48,0.48,1,1,1.022015751,0.48,0.48,0.48,0.48,"full","suriname"
24,0.44,1,1.00318202,1,0.44,0.44,0.44,0.44,0.44,1,1,1.022015751,0.44,0.44,0.44,0.44,"full","suriname"
25,0.4,1,1.00318202,1,0.4,0.4,0.4,0.4,0.4,1,1,1.022015751,0.4,0.4,0.4,0.4,"full","suriname"
26,0.36,1,1.00318202,1,0.36,0.36,0.36,0.36,0.36,1,1,1.022015751,0.36,0.36,0.36,0.36,"full","suriname"
27,0.32,1,1.00318202,1,0.32,0.32,0.32,0.32,0.32,1,1,1.022015751,0.32,0.32,0.32,0.32,"full","suriname"
28,0.28,1,1.00318202,1,0.28,0.28,0.28,0.28,0.28,1,1,1.022015751,0.28,0.28,0.28,0.28,"full","suriname"
29,0.24,1,1.00318202,1,0.24,0.24,0.24,0.24,0.24,1,1,1.022015751,0.24,0.24,0.24,0.24,"full","suriname"
30,0.2,1,1.00318202,1,0.2,0.2,0.2,0.2,0.2,1,1,1.022015751,0.2,0.2,0.2,0.2,"full","suriname"
31,0.16,1,1.00318202,1,0.16,0.16,0.16,0.16,0.16,1,1,1.022015751,0.16,0.16,0.16,0.16,"full","suriname"
32,0.12,1,1.00318202,1,0.12,0.12,0.12,0.12,0.12,1,1,1.022015751,0.12,0.12,0.12,0.12,"full","suriname"
33,0.08,1,1.00318202,1,0.08,0.08,0.08,0.08,0.08,1,1,1.022015751,0.08,0.08,0.08,0.08,"full","suriname"
34,0.04,1,1.00318202,1,0.04,0.04,0.04,0.04,0.04,1,1,1.022015751,0.04,0.04,0.04,0.04,"full","suriname"
35,-3.46945e-16,1,1.00318202,1,-3.46945e-16,-3.46945e-16,-3.46945e-16,-3.46945e-16,-3.46945e-16,1,1,1.022015751,-3.46945e-16,-3.46945e-16,-3.46945e-16,-3.46945e-16,"full","suriname"
0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,"none","trinidad_and_tobago"
1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,"none","trinidad_and_tobago"
2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,"none","trinidad_and_tobago"
3,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,"none","trinidad_and_tobago"
4,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,"none","trinidad_and_tobago"
5,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,"none","trinidad_and_tobago"
6,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,"none","trinidad_and_tobago"
7,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,"none","trinidad_and_tobago"
8,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,"none","trinidad_and_tobago"
9,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,"none","trinidad_and_tobago"
10,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,"none","trinidad_and_tobago"
11,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,"none","trinidad_and_tobago"
12,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,"none","trinidad_and_tobago"
13,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,"none","trinidad_and_tobago"
14,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,"none","trinidad_and_tobago"
15,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,"none","trinidad_and_tobago"
16,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,"none","trinidad_and_tobago"
17,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,"none","trinidad_and_tobago"
18,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,"none","trinidad_and_tobago"
19,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,"none","trinidad_and_tobago"
20,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,"none","trinidad_and_tobago"
21,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,"none","trinidad_and_tobago"
22,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,"none","trinidad_and_tobago"
23,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,"none","trinidad_and_tobago"
24,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,"none","trinidad_and_tobago"
25,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,"none","trinidad_and_tobago"
26,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,"none","trinidad_and_tobago"
27,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,"none","trinidad_and_tobago"
28,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,"none","trinidad_and_tobago"
29,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,"none","trinidad_and_tobago"
30,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,"none","trinidad_and_tobago"
31,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,"none","trinidad_and_tobago"
32,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,"none","trinidad_and_tobago"
33,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,"none","trinidad_and_tobago"
34,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,"none","trinidad_and_tobago"
35,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,"none","trinidad_and_tobago"
0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,"full","trinidad_and_tobago"
1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,"full","trinidad_and_tobago"
2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,"full","trinidad_and_tobago"
3,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,"full","trinidad_and_tobago"
4,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,"full","trinidad_and_tobago"
5,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,"full","trinidad_and_tobago"
6,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,"full","trinidad_and_tobago"
7,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,"full","trinidad_and_tobago"
8,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,"full","trinidad_and_tobago"
9,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,"full","trinidad_and_tobago"
10,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,"full","trinidad_and_tobago"
11,0.96,1,1.00318202,1,0.96,0.96,0.96,0.96,0.96,1,1,1.022015751,0.96,0.96,0.96,0.96,"full","trinidad_and_tobago"
12,0.92,1,1.00318202,1,0.92,0.92,0.92,0.92,0.92,1,1,1.022015751,0.92,0.92,0.92,0.92,"full","trinidad_and_tobago"
13,0.88,1,1.00318202,1,0.88,0.88,0.88,0.88,0.88,1,1,1.022015751,0.88,0.88,0.88,0.88,"full","trinidad_and_tobago"
14,0.84,1,1.00318202,1,0.84,0.84,0.84,0.84,0.84,1,1,1.022015751,0.84,0.84,0.84,0.84,"full","trinidad_and_tobago"
15,0.8,1,1.00318202,1,0.8,0.8,0.8,0.8,0.8,1,1,1.022015751,0.8,0.8,0.8,0.8,"full","trinidad_and_tobago"
16,0.76,1,1.00318202,1,0.76,0.76,0.76,0.76,0.76,1,1,1.022015751,0.76,0.76,0.76,0.76,"full","trinidad_and_tobago"
17,0.72,1,1.00318202,1,0.72,0.72,0.72,0.72,0.72,1,1,1.022015751,0.72,0.72,0.72,0.72,"full","trinidad_and_tobago"
18,0.68,1,1.00318202,1,0.68,0.68,0.68,0.68,0.68,1,1,1.022015751,0.68,0.68,0.68,0.68,"full","trinidad_and_tobago"
19,0.64,1,1.00318202,1,0.64,0.64,0.64,0.64,0.64,1,1,1.022015751,0.64,0.64,0.64,0.64,"full","trinidad_and_tobago"
20,0.6,1,1.00318202,1,0.6,0.6,0.6,0.6,0.6,1,1,1.022015751,0.6,0.6,0.6,0.6,"full","trinidad_and_tobago"
21,0.56,1,1.00318202,1,0.56,0.56,0.56,0.56,0.56,1,1,1.022015751,0.56,0.56,0.56,0.56,"full","trinidad_and_tobago"
22,0.52,1,1.00318202,1,0.52,0.52,0.52,0.52,0.52,1,1,1.022015751,0.52,0.52,0.52,0.52,"full","trinidad_and_tobago"
23,0.48,1,1.00318202,1,0.48,0.48,0.48,0.48,0.48,1,1,1.022015751,0.48,0.48,0.48,0.48,"full","trinidad_and_tobago"
24,0.44,1,1.00318202,1,0.44,0.44,0.44,0.44,0.44,1,1,1.022015751,0.44,0.44,0.44,0.44,"full","trinidad_and_tobago"
25,0.4,1,1.00318202,1,0.4,0.4,0.4,0.4,0.4,1,1,1.022015751,0.4,0.4,0.4,0.4,"full","trinidad_and_tobago"
26,0.36,1,1.00318202,1,0.36,0.36,0.36,0.36,0.36,1,1,1.022015751,0.36,0.36,0.36,0.36,"full","trinidad_and_tobago"
27,0.32,1,1.00318202,1,0.32,0.32,0.32,0.32,0.32,1,1,1.022015751,0.32,0.32,0.32,0.32,"full","trinidad_and_tobago"
28,0.28,1,1.00318202,1,0.28,0.28,0.28,0.28,0.28,1,1,1.022015751,0.28,0.28,0.28,0.28,"full","trinidad_and_tobago"
29,0.24,1,1.00318202,1,0.24,0.24,0.24,0.24,0.24,1,1,1.022015751,0.24,0.24,0.24,0.24,"full","trinidad_and_tobago"
30,0.2,1,1.00318202,1,0.2,0.2,0.2,0.2,0.2,1,1,1.022015751,0.2,0.2,0.2,0.2,"full","trinidad_and_tobago"
31,0.16,1,1.00318202,1,0.16,0.16,0.16,0.16,0.16,1,1,1.022015751,0.16,0.16,0.16,0.16,"full","trinidad_and_tobago"
32,0.12,1,1.00318202,1,0.12,0.12,0.12,0.12,0.12,1,1,1.022015751,0.12,0.12,0.12,0.12,"full","trinidad_and_tobago"
33,0.08,1,1.00318202,1,0.08,0.08,0.08,0.08,0.08,1,1,1.022015751,0.08,0.08,0.08,0.08,"full","trinidad_and_tobago"
34,0.04,1,1.00318202,1,0.04,0.04,0.04,0.04,0.04,1,1,1.022015751,0.04,0.04,0.04,0.04,"full","trinidad_and_tobago"
35,-3.46945e-16,1,1.00318202,1,-3.46945e-16,-3.46945e-16,-3.46945e-16,-3.46945e-16,-3.46945e-16,1,1,1.022015751,-3.46945e-16,-3.46945e-16,-3.46945e-16,-3.46945e-16,"full","trinidad_and_tobago"
0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,"none","uruguay"
1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,"none","uruguay"
2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,"none","uruguay"
3,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,"none","uruguay"
4,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,"none","uruguay"
5,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,"none","uruguay"
6,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,"none","uruguay"
7,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,"none","uruguay"
8,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,"none","uruguay"
9,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,"none","uruguay"
10,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,"none","uruguay"
11,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,"none","uruguay"
12,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,"none","uruguay"
13,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,"none","uruguay"
14,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,"none","uruguay"
15,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,"none","uruguay"
16,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,"none","uruguay"
17,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,"none","uruguay"
18,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,"none","uruguay"
19,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,"none","uruguay"
20,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,"none","uruguay"
21,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,"none","uruguay"
22,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,"none","uruguay"
23,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,"none","uruguay"
24,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,"none","uruguay"
25,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,"none","uruguay"
26,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,"none","uruguay"
27,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,"none","uruguay"
28,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,"none","uruguay"
29,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,"none","uruguay"
30,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,"none","uruguay"
31,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,"none","uruguay"
32,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,"none","uruguay"
33,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,"none","uruguay"
34,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,"none","uruguay"
35,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,"none","uruguay"
0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,"full","uruguay"
1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,"full","uruguay"
2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,"full","uruguay"
3,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,"full","uruguay"
4,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,"full","uruguay"
5,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,"full","uruguay"
6,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,"full","uruguay"
7,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,"full","uruguay"
8,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,"full","uruguay"
9,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,"full","uruguay"
10,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,"full","uruguay"
11,0.96,1,1.00318202,1,0.96,0.96,0.96,0.96,0.96,1,1,1.022015751,0.96,0.96,0.96,0.96,"full","uruguay"
12,0.92,1,1.00318202,1,0.92,0.92,0.92,0.92,0.92,1,1,1.022015751,0.92,0.92,0.92,0.92,"full","uruguay"
13,0.88,1,1.00318202,1,0.88,0.88,0.88,0.88,0.88,1,1,1.022015751,0.88,0.88,0.88,0.88,"full","uruguay"
14,0.84,1,1.00318202,1,0.84,0.84,0.84,0.84,0.84,1,1,1.022015751,0.84,0.84,0.84,0.84,"full","uruguay"
15,0.8,1,1.00318202,1,0.8,0.8,0.8,0.8,0.8,1,1,1.022015751,0.8,0.8,0.8,0.8,"full","uruguay"
16,0.76,1,1.00318202,1,0.76,0.76,0.76,0.76,0.76,1,1,1.022015751,0.76,0.76,0.76,0.76,"full","uruguay"
17,0.72,1,1.00318202,1,0.72,0.72,0.72,0.72,0.72,1,1,1.022015751,0.72,0.72,0.72,0.72,"full","uruguay"
18,0.68,1,1.00318202,1,0.68,0.68,0.68,0.68,0.68,1,1,1.022015751,0.68,0.68,0.68,0.68,"full","uruguay"
19,0.64,1,1.00318202,1,0.64,0.64,0.64,0.64,0.64,1,1,1.022015751,0.64,0.64,0.64,0.64,"full","uruguay"
20,0.6,1,1.00318202,1,0.6,0.6,0.6,0.6,0.6,1,1,1.022015751,0.6,0.6,0.6,0.6,"full","uruguay"
21,0.56,1,1.00318202,1,0.56,0.56,0.56,0.56,0.56,1,1,1.022015751,0.56,0.56,0.56,0.56,"full","uruguay"
22,0.52,1,1.00318202,1,0.52,0.52,0.52,0.52,0.52,1,1,1.022015751,0.52,0.52,0.52,0.52,"full","uruguay"
23,0.48,1,1.00318202,1,0.48,0.48,0.48,0.48,0.48,1,1,1.022015751,0.48,0.48,0.48,0.48,"full","uruguay"
24,0.44,1,1.00318202,1,0.44,0.44,0.44,0.44,0.44,1,1,1.022015751,0.44,0.44,0.44,0.44,"full","uruguay"
25,0.4,1,1.00318202,1,0.4,0.4,0.4,0.4,0.4,1,1,1.022015751,0.4,0.4,0.4,0.4,"full","uruguay"
26,0.36,1,1.00318202,1,0.36,0.36,0.36,0.36,0.36,1,1,1.022015751,0.36,0.36,0.36,0.36,"full","uruguay"
27,0.32,1,1.00318202,1,0.32,0.32,0.32,0.32,0.32,1,1,1.022015751,0.32,0.32,0.32,0.32,"full","uruguay"
28,0.28,1,1.00318202,1,0.28,0.28,0.28,0.28,0.28,1,1,1.022015751,0.28,0.28,0.28,0.28,"full","uruguay"
29,0.24,1,1.00318202,1,0.24,0.24,0.24,0.24,0.24,1,1,1.022015751,0.24,0.24,0.24,0.24,"full","uruguay"
30,0.2,1,1.00318202,1,0.2,0.2,0.2,0.2,0.2,1,1,1.022015751,0.2,0.2,0.2,0.2,"full","uruguay"
31,0.16,1,1.00318202,1,0.16,0.16,0.16,0.16,0.16,1,1,1.022015751,0.16,0.16,0.16,0.16,"full","uruguay"
32,0.12,1,1.00318202,1,0.12,0.12,0.12,0.12,0.12,1,1,1.022015751,0.12,0.12,0.12,0.12,"full","uruguay"
33,0.08,1,1.00318202,1,0.08,0.08,0.08,0.08,0.08,1,1,1.022015751,0.08,0.08,0.08,0.08,"full","uruguay"
34,0.04,1,1.00318202,1,0.04,0.04,0.04,0.04,0.04,1,1,1.022015751,0.04,0.04,0.04,0.04,"full","uruguay"
35,-3.46945e-16,1,1.00318202,1,-3.46945e-16,-3.46945e-16,-3.46945e-16,-3.46945e-16,-3.46945e-16,1,1,1.022015751,-3.46945e-16,-3.46945e-16,-3.46945e-16,-3.46945e-16,"full","uruguay"
0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,"none","venezuela"
1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,"none","venezuela"
2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,"none","venezuela"
3,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,"none","venezuela"
4,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,"none","venezuela"
5,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,"none","venezuela"
6,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,"none","venezuela"
7,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,"none","venezuela"
8,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,"none","venezuela"
9,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,"none","venezuela"
10,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,"none","venezuela"
11,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,"none","venezuela"
12,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,"none","venezuela"
13,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,"none","venezuela"
14,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,"none","venezuela"
15,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,"none","venezuela"
16,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,"none","venezuela"
17,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,"none","venezuela"
18,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,"none","venezuela"
19,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,"none","venezuela"
20,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,"none","venezuela"
21,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,"none","venezuela"
22,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,"none","venezuela"
23,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,"none","venezuela"
24,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,"none","venezuela"
25,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,"none","venezuela"
26,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,"none","venezuela"
27,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,"none","venezuela"
