strategy,strategy_code,comparison_code,include,strategy_specific_costs,entc_enfu_production_cost_factors.csv,entc_air_pollution_cost_factors.csv,trns_air_pollution_cost_factors.csv,trns_congestion_cost_factors.csv,trns_road_safety_cost_factors.csv,trns_passenger_transport_cost_factors.csv,trns_freight_transport_cost_factors.csv,inen_air_pollution_cost_factors.csv,ippu_avoided_production_cost_factors.csv,trww_treatment_cost_factors.csv,trww_treatment_water_pollution_cost_factors.csv,wali_sanitation_cost_factors.csv,waso_waste_management_cost_factors.csv,waso_waste_collection_cost_factors.csv,waso_waste_to_energy_cost_factors.csv,waso_pollution_cost_factors.csv,trww_waste_to_energy_cost_factors.csv,afolu_crop_livestock_production_cost_factors.csv,afolu_ecosystem_services_cost_factors.csv,soil_nitrogen_and_lime_cost_factors.csv
SCOE: Reduce end-use demand for heat energy by improving building shell with renewable energy production,SOCE:DEC_DEMAND_HEAT_REP,ENTC:RENEWABLE_ELEC_TARGET,0,1,1,1,,,,,,,,,,,,,,,,,,
SCOE: Reduce end-use demand for heat energy by improving building shell,SOCE:DEC_DEMAND_HEAT,BASE,1,1,1,1,,,,,,,,,,,,,,,,,,
SCOE: Increase appliance efficiency with renewable energy production,SCOE:INC_EFFICIENCY_APPLIANCE_REP,ENTC:RENEWABLE_ELEC_TARGET,0,1,1,1,,,,,,,,,,,,,,,,,,
SCOE: Increase appliance efficiency,SCOE:INC_EFFICIENCY_APPLIANCE,BASE,1,1,1,1,,,,,,,,,,,,,,,,,,
"SCOE: Switch to electricity for heat using heat pumps, electric stoves, etc. with renewable energy production",SCOE:FUEL_SWITCH_HEAT_REP,ENTC:RENEWABLE_ELEC_TARGET,0,1,1,1,,,,,,,,,,,,,,,,,,
"SCOE: Switch to electricity for heat using heat pumps, electric stoves, etc.",SCOE:FUEL_SWITCH_HEAT,BASE,1,1,1,1,,,,,,,,,,,,,,,,,,
SCOE: All Stationary Combustion and Other Energy transformations with renewable energy production,SCOE:ALL_REP,ENTC:RENEWABLE_ELEC_TARGET,0,0,,,,,,,,,,,,,,,,,,,,
SCOE: All Stationary Combustion and Other Energy transformations,SCOE:ALL,BASE,0,0,,,,,,,,,,,,,,,,,,,,
INEN: Maximize industrial production efficiency with renewable energy production,INEN:INC_EFFICIENCY_PRODUCTION_REP,ENTC:RENEWABLE_ELEC_TARGET,0,0,1,1,,,,,,1,,,,,,,,,,,,
INEN: Maximize industrial production efficiency,INEN:INC_EFFICIENCY_PRODUCTION,BASE,0,0,1,1,,,,,,1,,,,,,,,,,,,
INEN: Maximize industrial energy efficiency with renewable energy production,INEN:INC_EFFICIENCY_ENERGY_REP,ENTC:RENEWABLE_ELEC_TARGET,0,1,1,1,,,,,,1,,,,,,,,,,,,
INEN: Maximize industrial energy efficiency,INEN:INC_EFFICIENCY_ENERGY,BASE,1,1,1,1,,,,,,1,,,,,,,,,,,,
INEN: Fuel switch low-temp thermal processes to industrial heat pumps with renewable energy production,INEN:FUEL_SWITCH_LO_HEAT_REP,ENTC:RENEWABLE_ELEC_TARGET,0,1,1,1,,,,,,1,,,,,,,,,,,,
INEN: Fuel switch low-temp thermal processes to industrial heat pumps,INEN:FUEL_SWITCH_LO_HEAT,BASE,1,1,1,1,,,,,,1,,,,,,,,,,,,
INEN: Fuel switch medium and high-temp thermal processes to hydrogen and electricity with renewable energy production,INEN:FUEL_SWITCH_HI_HEAT_REP,ENTC:RENEWABLE_ELEC_TARGET,0,1,1,1,,,,,,1,,,,,,,,,,,,
INEN: Fuel switch medium and high-temp thermal processes to hydrogen and electricity,INEN:FUEL_SWITCH_HI_HEAT,BASE,1,1,1,1,,,,,,1,,,,,,,,,,,,
INEN: All Industrial Energy transformations with renewable energy production,INEN:ALL_REP,ENTC:RENEWABLE_ELEC_TARGET,0,0,,,,,,,,,,,,,,,,,,,,
