,x,,
115,nemomod_entc_discounted_capital_investment_pp_geothermal,,
116,nemomod_entc_discounted_capital_investment_pp_hydropower,,
117,nemomod_entc_discounted_capital_investment_pp_nuclear,,
118,nemomod_entc_discounted_capital_investment_pp_ocean,,
119,nemomod_entc_discounted_capital_investment_pp_oil,,
120,nemomod_entc_discounted_capital_investment_pp_solar,,
121,nemomod_entc_discounted_capital_investment_pp_waste_incineration,,
122,nemomod_entc_discounted_capital_investment_pp_wind,,
123,nemomod_entc_discounted_operating_costs_fp_hydrogen_electrolysis,,
124,nemomod_entc_discounted_operating_costs_fp_hydrogen_gasification,,
125,nemomod_entc_discounted_operating_costs_fp_hydrogen_reformation,,
126,nemomod_entc_discounted_operating_costs_pp_biogas,,
127,nemomod_entc_discounted_operating_costs_pp_biomass,,
128,nemomod_entc_discounted_operating_costs_pp_coal,,
129,nemomod_entc_discounted_operating_costs_pp_coal_ccs,,
130,nemomod_entc_discounted_operating_costs_pp_gas,,
131,nemomod_entc_discounted_operating_costs_pp_gas_ccs,,
132,nemomod_entc_discounted_operating_costs_pp_geothermal,,
133,nemomod_entc_discounted_operating_costs_pp_hydropower,,
134,nemomod_entc_discounted_operating_costs_pp_nuclear,,
135,nemomod_entc_discounted_operating_costs_pp_ocean,,
136,nemomod_entc_discounted_operating_costs_pp_oil,,
137,nemomod_entc_discounted_operating_costs_pp_solar,,
138,nemomod_entc_discounted_operating_costs_pp_waste_incineration,,
139,nemomod_entc_discounted_operating_costs_pp_wind,,
140,passenger_distance_traveled_trns_aviation,,
141,pop_lvst_buffalo,,
142,pop_lvst_cattle_dairy,,
143,pop_lvst_cattle_nondairy,,
144,pop_lvst_chickens,,
145,pop_lvst_goats,,
146,pop_lvst_horses,,
147,pop_lvst_mules,,
148,pop_lvst_pigs,,
149,pop_lvst_sheep,,
150,population_gnrl_rural,,
151,population_gnrl_urban,,
152,prod_enfu_fuel_electricity_pj,,
153,prod_ippu_cement_tonne,,
154,prod_ippu_chemicals_tonne,,
155,prod_ippu_glass_tonne,,
156,prod_ippu_lime_and_carbonite_tonne,,
157,prod_ippu_metals_tonne,,
158,prod_ippu_plastic_tonne,,
159,qty_agrc_total_food_produced_lost_tonne,,
160,qty_trww_bod_removed_treated_advanced_aerobic_tonne,,
161,qty_trww_bod_removed_treated_advanced_anaerobic_tonne,,
162,qty_trww_bod_removed_treated_latrine_improved_tonne,,
163,qty_trww_bod_removed_treated_latrine_unimproved_tonne,,
164,qty_trww_bod_removed_treated_primary_tonne,,
165,qty_trww_bod_removed_treated_secondary_aerobic_tonne,,
166,qty_trww_bod_removed_treated_secondary_anaerobic_tonne,,
167,qty_trww_bod_removed_treated_septic_tonne,,
168,qty_trww_bod_removed_untreated_no_sewerage_tonne,,
169,qty_trww_bod_removed_untreated_with_sewerage_tonne,,
170,qty_trww_cod_removed_treated_advanced_aerobic_tonne,,
171,qty_trww_cod_removed_treated_advanced_anaerobic_tonne,,
172,qty_trww_cod_removed_treated_latrine_improved_tonne,,
173,qty_trww_cod_removed_treated_latrine_unimproved_tonne,,
174,qty_trww_cod_removed_treated_primary_tonne,,
175,qty_trww_cod_removed_treated_secondary_aerobic_tonne,,
176,qty_trww_cod_removed_treated_secondary_anaerobic_tonne,,
177,qty_trww_cod_removed_treated_septic_tonne,,
178,qty_trww_cod_removed_untreated_no_sewerage_tonne,,
179,qty_trww_cod_removed_untreated_with_sewerage_tonne,,
180,qty_trww_n_removed_tonne,,
181,qty_trww_p_removed_tonne,,
182,qty_waso_biogas_food_tonne,,
183,qty_waso_biogas_sludge_tonne,,
184,qty_waso_biogas_yard_tonne,,
185,qty_waso_compost_food_tonne,,
186,qty_waso_compost_sludge_tonne,,
187,qty_waso_compost_yard_tonne,,
188,qty_waso_incinerated_chemical_industrial_tonne,,
189,qty_waso_incinerated_food_tonne,,
190,qty_waso_incinerated_glass_tonne,,
191,qty_waso_incinerated_metal_tonne,,
192,qty_waso_incinerated_nappies_tonne,,
193,qty_waso_incinerated_other_tonne,,
194,qty_waso_incinerated_paper_tonne,,
195,qty_waso_incinerated_plastic_tonne,,
196,qty_waso_incinerated_rubber_leather_tonne,,
197,qty_waso_incinerated_sludge_tonne,,
198,qty_waso_incinerated_textiles_tonne,,
199,qty_waso_incinerated_wood_tonne,,
200,qty_waso_incinerated_yard_tonne,,
201,qty_waso_isw_recovered_for_energy_incineration_tonne,,
202,qty_waso_landfilled_chemical_industrial_tonne,,
203,qty_waso_landfilled_food_tonne,,
204,qty_waso_landfilled_glass_tonne,,
205,qty_waso_landfilled_metal_tonne,,
206,qty_waso_landfilled_nappies_tonne,,
207,qty_waso_landfilled_other_tonne,,
208,qty_waso_landfilled_paper_tonne,,
209,qty_waso_landfilled_plastic_tonne,,
210,qty_waso_landfilled_rubber_leather_tonne,,
211,qty_waso_landfilled_sludge_tonne,,
212,qty_waso_landfilled_textiles_tonne,,
213,qty_waso_landfilled_wood_tonne,,
214,qty_waso_landfilled_yard_tonne,,
215,qty_waso_msw_recovered_for_energy_incineration_tonne,,
216,qty_waso_open_dump_chemical_industrial_tonne,,
217,qty_waso_open_dump_food_tonne,,
218,qty_waso_open_dump_glass_tonne,,
